;Education;Marital_Status;Income;Kidhome;Teenhome;Recency;MntWines;MntFruits;MntMeatProducts;MntFishProducts;MntSweetProducts;MntGoldProds;NumDealsPurchases;NumWebPurchases;NumCatalogPurchases;NumStorePurchases;NumWebVisitsMonth;AcceptedCmp3;AcceptedCmp4;AcceptedCmp5;AcceptedCmp1;AcceptedCmp2;Complain;Response;Education_Level;Age;Total_Campaigns_Accepted;Average_Spend;Spent;Is_Parent;total_spending;avg_web_visits;online_purchase_ratio
0;Graduation;Single;58138.0;0;0;58;635;88;546;172;88;88;3;8;10;4;7;0;0;0;0;0;0;1;High;66;0;539.0;2252;0;1617;0.5833333333333334;0.36363636363636365
1;Graduation;Single;46344.0;1;1;38;11;1;6;2;1;6;2;1;1;2;5;0;0;0;0;0;0;0;High;69;0;13.5;38;1;27;0.4166666666666667;0.25
2;Graduation;Together;71613.0;0;0;26;426;49;127;111;21;42;1;8;2;10;4;0;0;0;0;0;0;0;High;58;0;776.0;1202;0;776;0.3333333333333333;0.4
3;Graduation;Together;26646.0;1;0;26;11;4;20;10;3;5;2;2;0;4;6;0;0;0;0;0;0;0;High;39;0;26.5;64;1;53;0.5;0.3333333333333333
4;PhD;Married;58293.0;1;0;94;173;43;118;46;27;15;5;5;3;6;5;0;0;0;0;0;0;0;High;42;0;84.4;595;1;422;0.4166666666666667;0.35714285714285715
5;Master;Together;62513.0;0;1;16;520;42;98;0;42;14;2;6;4;10;6;0;0;0;0;0;0;0;High;56;0;358.0;1236;1;716;0.5;0.3
6;Graduation;Divorced;55635.0;0;1;34;235;65;164;50;49;27;4;7;3;7;6;0;0;0;0;0;0;0;High;52;0;147.5;825;1;590;0.5;0.4117647058823529
7;PhD;Married;33454.0;1;0;32;76;10;56;3;1;23;2;4;0;4;8;0;0;0;0;0;0;0;High;38;0;84.5;245;1;169;0.6666666666666666;0.5
8;PhD;Together;30351.0;1;0;19;14;0;24;3;3;2;1;3;0;2;9;0;0;0;0;0;0;1;High;49;0;46.0;60;1;46;0.75;0.6
9;PhD;Together;5648.0;1;1;68;28;0;6;1;1;13;1;1;0;0;20;1;0;0;0;0;0;0;High;73;1;49.0;77;1;49;1.6666666666666667;1.0
11;Basic;Married;7500.0;0;0;59;6;16;11;11;1;16;1;2;0;3;8;0;0;0;0;0;0;0;Middle;47;0;61.0;67;0;61;0.6666666666666666;0.4
12;Graduation;Divorced;63033.0;0;0;82;194;61;480;225;112;30;1;3;4;8;2;0;0;0;0;0;0;0;High;64;0;1102.0;1296;0;1102;0.16666666666666666;0.2
13;Master;Divorced;59354.0;1;1;53;233;2;53;3;5;14;3;6;1;5;6;0;0;0;0;0;0;0;High;71;0;103.33333333333333;543;1;310;0.5;0.5
14;Graduation;Married;17323.0;0;0;38;3;14;17;6;1;5;1;1;0;3;8;0;0;0;0;0;0;0;High;36;0;46.0;49;0;46;0.6666666666666666;0.25
15;PhD;Single;82800.0;0;0;23;1006;22;115;59;68;45;1;7;6;12;3;0;0;1;1;0;0;1;High;77;2;1315.0;2321;0;1315;0.25;0.28
16;Graduation;Married;41850.0;1;1;51;53;5;19;2;13;4;3;3;0;3;8;0;0;0;0;0;0;0;High;43;0;32.0;149;1;96;0.6666666666666666;0.5
17;Graduation;Together;37760.0;0;0;20;84;5;38;150;12;28;2;4;1;6;7;0;0;0;0;0;0;0;High;77;0;158.5;401;0;317;0.5833333333333334;0.36363636363636365
18;Master;Married;76995.0;0;1;91;1012;80;498;0;16;176;2;11;4;9;5;0;0;0;1;0;0;0;High;74;1;891.0;2794;1;1782;0.4166666666666667;0.4583333333333333
19;2n Cycle;Single;33812.0;1;0;86;4;17;19;30;24;39;2;2;1;3;6;0;0;0;0;0;0;0;Low;38;0;66.5;137;1;133;0.5;0.3333333333333333
20;Graduation;Married;37040.0;0;0;41;86;2;73;69;38;48;1;4;2;5;8;0;0;0;0;0;0;0;High;41;0;316.0;402;0;316;0.6666666666666666;0.36363636363636365
21;Graduation;Married;2447.0;1;0;42;1;1;1725;1;1;1;15;0;28;0;1;0;0;0;0;0;0;0;High;44;0;115.33333333333333;1731;1;1730;0.08333333333333333;0.0
22;PhD;Married;58607.0;0;1;63;867;0;86;0;0;19;3;2;3;9;8;0;1;0;0;0;0;0;High;74;1;324.0;1839;1;972;0.6666666666666666;0.14285714285714285
23;PhD;Married;65324.0;0;1;0;384;0;102;21;32;5;3;6;2;9;4;0;0;0;0;0;0;0;High;69;0;181.33333333333334;928;1;544;0.3333333333333333;0.35294117647058826
24;Graduation;Together;40689.0;0;1;69;270;3;27;39;6;99;7;7;1;5;8;0;0;0;0;0;0;0;High;72;0;63.42857142857143;714;1;444;0.6666666666666666;0.5384615384615384
25;Graduation;Single;18589.0;0;0;89;6;4;25;15;12;13;2;2;1;3;7;0;0;0;0;0;0;0;High;54;0;37.5;81;0;75;0.5833333333333334;0.3333333333333333
26;Graduation;Married;53359.0;1;1;4;173;4;30;3;6;41;4;5;1;4;7;0;0;0;0;0;0;0;High;47;0;64.25;430;1;257;0.5833333333333334;0.5
28;Graduation;Married;38360.0;1;0;26;36;2;42;20;21;10;2;2;1;4;3;0;0;0;0;0;0;0;High;34;0;65.5;167;1;131;0.25;0.2857142857142857
29;PhD;Married;84618.0;0;0;96;684;100;801;21;66;0;1;6;9;10;2;0;0;1;0;0;0;0;High;58;1;1672.0;2356;0;1672;0.16666666666666666;0.24
30;Master;Divorced;10979.0;0;0;34;8;4;10;2;2;4;2;3;0;3;5;0;0;0;0;0;0;0;High;34;0;15.0;38;0;30;0.4166666666666667;0.5
31;Master;Together;38620.0;0;0;56;112;17;44;34;22;89;1;2;5;3;3;0;0;0;0;0;0;0;High;60;0;318.0;430;0;318;0.25;0.2
32;Graduation;Together;40548.0;0;1;31;110;0;5;2;0;3;2;2;1;4;5;0;1;0;0;0;0;0;High;53;1;60.0;230;1;120;0.4166666666666667;0.2857142857142857
33;PhD;Divorced;46610.0;0;2;8;96;12;96;33;22;43;6;4;1;6;6;0;0;0;0;0;0;1;High;71;0;50.333333333333336;398;1;302;0.5;0.36363636363636365
34;Master;Married;68657.0;0;0;4;482;34;471;119;68;22;1;3;5;9;7;0;0;0;0;0;0;0;High;77;0;1196.0;1678;0;1196;0.5833333333333334;0.17647058823529413
35;Master;Single;49389.0;1;1;55;40;0;19;2;1;3;1;2;0;3;7;0;0;0;0;0;0;0;High;72;0;65.0;105;1;65;0.5833333333333334;0.4
36;PhD;Married;67353.0;0;1;37;702;17;151;0;8;35;5;5;6;12;2;0;0;0;0;0;0;0;High;53;0;182.6;1615;1;913;0.16666666666666666;0.21739130434782608
37;2n Cycle;Married;23718.0;1;0;76;6;3;14;15;7;36;3;3;1;2;7;0;0;0;0;0;0;0;Low;47;0;27.0;87;1;81;0.5833333333333334;0.5
38;Graduation;Widow;42429.0;0;1;99;55;0;6;2;0;4;2;1;1;3;5;0;0;0;0;0;0;0;High;50;0;33.5;122;1;67;0.4166666666666667;0.2
39;PhD;Divorced;48948.0;0;0;53;437;8;206;160;49;42;2;7;10;5;6;1;0;0;0;0;0;1;High;80;1;451.0;1339;0;902;0.5;0.3181818181818182
40;Graduation;Married;80011.0;0;1;3;421;76;536;82;178;102;2;8;6;5;4;0;0;0;0;0;0;0;High;43;0;697.5;1816;1;1395;0.3333333333333333;0.42105263157894735
41;Master;Married;20559.0;1;0;88;13;1;29;3;0;7;2;2;0;3;8;0;0;0;0;0;0;0;High;38;0;26.5;66;1;53;0.6666666666666666;0.4
42;Graduation;Together;21994.0;0;1;4;9;0;6;3;1;3;1;0;0;3;5;0;0;0;0;0;0;0;High;66;0;22.0;31;1;22;0.4166666666666667;0.0
44;Master;Married;7500.0;1;0;19;3;1;10;3;2;12;3;2;0;3;5;0;0;0;0;0;0;0;High;48;0;10.333333333333334;34;1;31;0.4166666666666667;0.4
45;Graduation;Single;79941.0;0;0;72;123;164;266;227;30;174;1;2;4;9;1;0;0;0;0;0;0;0;High;47;0;984.0;1107;0;984;0.08333333333333333;0.13333333333333333
46;2n Cycle;Married;7500.0;0;0;24;3;18;14;15;22;50;3;3;1;3;9;0;0;0;0;0;0;1;Low;27;0;40.666666666666664;125;0;122;0.75;0.42857142857142855
47;Graduation;Together;41728.0;1;0;92;13;6;15;3;5;13;1;2;0;2;10;0;0;0;0;0;0;0;High;55;0;55.0;68;1;55;0.8333333333333334;0.5
49;PhD;Married;72550.0;1;1;39;826;50;317;50;38;38;9;5;2;12;8;0;0;0;0;0;0;0;High;69;0;146.55555555555554;2145;1;1319;0.6666666666666666;0.2631578947368421
50;Graduation;Widow;65486.0;0;1;29;245;19;125;37;67;14;1;4;2;10;2;0;0;0;0;0;0;0;High;66;0;507.0;752;1;507;0.16666666666666666;0.25
51;Master;Married;79143.0;0;0;2;650;37;780;27;167;32;1;6;9;13;3;0;0;0;0;0;0;0;High;59;0;1693.0;2343;0;1693;0.25;0.21428571428571427
52;Graduation;Single;35790.0;1;0;54;12;6;20;30;1;3;2;2;0;3;7;0;0;0;0;0;0;0;High;46;0;36.0;84;1;72;0.5833333333333334;0.4
53;Graduation;Divorced;82582.0;0;0;54;510;120;550;156;40;241;1;4;9;7;1;1;0;0;1;0;0;1;High;46;2;1617.0;2127;0;1617;0.08333333333333333;0.2
54;Graduation;Married;66373.0;1;1;57;328;9;124;12;24;109;7;4;2;10;3;0;0;0;0;0;0;0;High;45;0;86.57142857142857;934;1;606;0.25;0.25
55;Master;Together;82384.0;0;0;55;984;51;432;180;120;190;1;3;10;13;1;0;0;1;0;0;0;1;High;68;1;1957.0;2941;0;1957;0.08333333333333333;0.11538461538461539
56;Graduation;Divorced;70287.0;0;0;30;295;35;482;121;120;40;1;5;5;10;3;0;0;0;0;0;0;1;High;57;0;1093.0;1388;0;1093;0.25;0.25
57;Graduation;Single;27938.0;1;0;31;13;0;8;2;1;5;1;1;0;4;3;0;0;0;0;0;0;0;High;35;0;29.0;42;1;29;0.25;0.2
59;PhD;Married;55954.0;0;1;63;447;0;28;0;0;43;3;8;2;6;7;0;0;0;0;0;0;0;High;55;0;172.66666666666666;965;1;518;0.5833333333333334;0.5
60;Master;Single;75777.0;0;0;12;712;26;538;69;13;80;1;3;6;11;1;0;1;1;0;0;0;1;High;41;2;1438.0;2150;0;1438;0.08333333333333333;0.15
61;Graduation;Together;66653.0;1;1;18;452;18;102;16;18;6;4;4;2;12;3;0;0;0;0;0;0;0;High;48;0;153.0;1064;1;612;0.25;0.2222222222222222
62;Graduation;Single;61823.0;0;1;26;523;7;134;37;14;169;4;8;2;10;7;0;0;0;0;0;0;0;High;71;0;221.0;1407;1;884;0.5833333333333334;0.4
